"rayyan_key","location","biome","taxonomic_group","conservation_problem","stakeholder_population","type_of_scientific_evidence","study_design","data_collected","factors_influencing_evidence_use","evidence_discipline","scale_of_study","scale_of_decision_making","type_of_organisation_studied","description_of_decision_type","location_std","continent_raw"
"rayyan-153486656","India","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Nature of decision, Capacity and resources","Not mentioned","Multi-country","National","Private sector","Business impact mitigation","India","Asia"
"rayyan-153486818","Australia","Not mentioned","Not mentioned","Protected area management","Practitioners","Empirical evidence (published studies, monitoring data, condition assessments)","Surveys","Stakeholder perceptions","Accessibility of evidence","Natural sciences","Multi-region","Regional","Government/statutory body","Protected areas management","Australia","Oceania"
"rayyan-153486824","UK","Not mentioned","Not mentioned","Protected area management","Practitioners","Peer-reviewed studies","Surveys, Interviews","Stakeholder perceptions","Accessibility of evidence, Format and language, Practitioner/policymaker research skills","Not mentioned","Multi-country","Regional","Government/statutory body, NGO/non-profit","Protected area management","United Kingdom","Europe"
"rayyan-153486824","Australia","Not mentioned","Not mentioned","Protected area management","Practitioners","Peer-reviewed studies","Surveys, Interviews","Stakeholder perceptions","Accessibility of evidence, Format and language, Practitioner/policymaker research skills","Not mentioned","Multi-country","Regional","Government/statutory body, NGO/non-profit","Protected area management","Australia","Oceania"
"rayyan-153486837","USA","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Practitioner/policymaker-stakeholder relationships","Not mentioned","Single","International","Government/statutory body","Technical assistance to support evidence use in biodiversity program","United States","Americas"
"rayyan-153486872","USA","Freshwater","Reptiles or Amphibians","Pollution, Climate change, Land use change","Researchers","Decision-making tools","Surveys","Stakeholder perceptions","Language barrier, Uncertainty, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Academic demands on researchers, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker decision process, Capacity and resources, Management","Not mentioned","Multi-country","Not reported","Not detailed","Multiple different decision types","United States","Americas"
"rayyan-153486872","Australia","Freshwater","Reptiles or Amphibians","Pollution, Climate change, Land use change","Researchers","Decision-making tools","Surveys","Stakeholder perceptions","Language barrier, Uncertainty, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Academic demands on researchers, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker decision process, Capacity and resources, Management","Not mentioned","Multi-country","Not reported","Not detailed","Multiple different decision types","Australia","Oceania"
"rayyan-153486872","Italy","Freshwater","Reptiles or Amphibians","Pollution, Climate change, Land use change","Researchers","Decision-making tools","Surveys","Stakeholder perceptions","Language barrier, Uncertainty, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Academic demands on researchers, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker decision process, Capacity and resources, Management","Not mentioned","Multi-country","Not reported","Not detailed","Multiple different decision types","Italy","Europe"
"rayyan-153486872","Canada","Freshwater","Reptiles or Amphibians","Pollution, Climate change, Land use change","Researchers","Decision-making tools","Surveys","Stakeholder perceptions","Language barrier, Uncertainty, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Academic demands on researchers, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker decision process, Capacity and resources, Management","Not mentioned","Multi-country","Not reported","Not detailed","Multiple different decision types","Canada","Americas"
"rayyan-153486928","USA","Not mentioned","Not mentioned","Climate change","Researchers, Practitioners, Policymakers","Multiple sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Relevance, Practitioner/policymaker awareness of evidence","Not mentioned","Multi-unit","Not reported","Government/statutory body, NGO/non-profit, Academic institution","Adaptive management to climate change","United States","Americas"
"rayyan-153486962","UK","Not mentioned","Not mentioned","Not reported","Practitioners","Peer-reviewed studies","Surveys, Interviews, Documentary analysis","Mixed data","Accessibility of evidence, Format and language, Relationships between colleagues, Practitioner/policymaker research skills, Capacity and resources","Natural sciences","Multi-unit","Local","Government/statutory body, NGO/non-profit","Nature Reserve Management","United Kingdom","Europe"
"rayyan-153487005","Peru","Desert, Forest, Grassland, Shrubland, Marine, Freshwater","Not mentioned","Protected area management","Researchers, Practitioners, Policymakers","No description provided","Surveys, Interviews, Workshops","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Time lag, Language barrier, Relevance, Rigour, Timeliness of evidence, Scientist-actor relationships, Implementation capacity","Both natural and social sciences","Multi-unit","Regional","Government/statutory body, Academic institution","Protected area management","Peru","Americas"
"rayyan-153487012","Germany","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Workshops","Stakeholder perceptions","Accessibility of evidence, Format and language, Language barrier, Rigour, Scientist-actor relationships, Implementation capacity, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Natural sciences","Multi-country","Regional","Academic institution","Fishery management","Germany","Europe"
"rayyan-153487012","France","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Workshops","Stakeholder perceptions","Accessibility of evidence, Format and language, Language barrier, Rigour, Scientist-actor relationships, Implementation capacity, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Natural sciences","Multi-country","Regional","Academic institution","Fishery management","France","Europe"
"rayyan-153487012","Norway","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Workshops","Stakeholder perceptions","Accessibility of evidence, Format and language, Language barrier, Rigour, Scientist-actor relationships, Implementation capacity, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Natural sciences","Multi-country","Regional","Academic institution","Fishery management","Norway","Europe"
"rayyan-153487012","Denmark","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Workshops","Stakeholder perceptions","Accessibility of evidence, Format and language, Language barrier, Rigour, Scientist-actor relationships, Implementation capacity, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Natural sciences","Multi-country","Regional","Academic institution","Fishery management","Denmark","Europe"
